"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"164","F3","165_16_12",3.89,2.27,39.88,40.1
"165","F3","165_16_13",3.86,2.08,40.49,38.86
"166","F3","165_16_14",NA,2.55,NA,39.59
"167","F3","165_16_15",3.43,1.78,39.3,37.66
"168","F3","165_16_16",3.99,1.83,40.05,38.84
"169","F3","165_16_19",3.61,1.95,40.25,39.43
"170","F3","165_16_20",3.42,1.66,39.2,38.57
"171","F3","165_16_31",2.83,1.8,38.95,40.41
"172","F3","165_16_39",3.02,1.52,39.94,40.06
"173","F3","165_16_57",NA,1.93,NA,38.65
"174","F3","165_16B_23",4.18,2.13,40.66,39.64
"175","F3","165_16B_25",3.15,1.52,39.49,37.75
"176","F3","165_16B_26",3.88,2.43,40.5,39.9
"177","F3","165_16B_28",2.83,2.41,39.59,69.21
"178","F3","165_16B_34",2.81,1.32,38.95,38.41
"179","F3","165_16B_37",3.05,1.44,38.53,37.48
"180","F3","165_16B_38",3.24,1.36,38.94,38.51
"181","F3","165_16B_42",3,1.18,39.02,39.53
"182","F3","165_16C_45",2.4,0.97,39.06,38.46
"183","F3","165_16C_48",3.46,1.84,44.76,38.94
"184","F3","165_16C_49",3,2.12,37.87,38.16
"185","F3","165_16C_52",2.83,1.7,38.41,38.13
"186","F3","165_16C_54",3.29,2.28,39.27,39.26
"187","F3","165_16C_56",3.06,1.85,37.76,38.74
"188","F3","165_16C_57",3.2,NA,38.94,NA
"189","F3","165_16C_59",2.71,1.47,38.97,38.78
"190","F3","165_16C_60",3.05,2.12,37.44,36.75
"191","F3","165_16C_61",2.97,1.5,38.42,35.71
"192","F3","165_16C_63",3.33,1.85,39.8,39.3
"193","F3","165_16C_65",2.73,2,39.21,39.8
"194","F3","165_19_11",3.81,1.81,36.38,35.91
"195","F3","165_19_13",NA,2.3,NA,35.86
"196","F3","165_25_02",3.86,2.44,37.92,37.48
"197","F3","165_25_03",3.72,2.56,40.59,40.37
"198","F3","165_25_04",3.96,2.76,40.65,39.67
"199","F3","165_25_06",4.13,3.06,38.86,37.97
"200","F3","165_25_07",3.67,3.74,38.45,47.27
"201","F3","165_25_08",3.59,2.38,37.77,35.3
"202","F3","165_25_09",NA,2.72,NA,38.66
"203","F3","165_25_10",NA,3.22,NA,39.47
"204","F3","165_25_11",3.46,2.68,40.65,39.71
"205","F3","165_25_12",3.55,2.95,33.17,39.5
"206","F3","165_25_13",4.4,3.17,39.61,39.05
"207","F3","165_25_14",3.73,3.64,39.82,41.91
"208","F3","165_25_15",4.29,3.28,38.68,38.06
"209","F3","165_25_17",3.62,2.85,37.68,36.83
"210","F3","165_25_18",3.13,2.66,38.53,45.13
"211","F3","165_25_20",3.53,1.89,39.4,38.53
"212","F3","165_25_21",4.17,2.85,39.8,39.11
"213","F3","165_25_22",3.78,2.42,39.72,39.12
"214","F3","165_25_23",4.36,2.01,45.52,36.97
"215","F3","165_25_24",3.15,2.73,39.12,39.3
"216","F3","165_25_25",3.28,2.15,43.77,39.46
"217","F3","165_25_26",3.37,1.58,37.72,36.18
"218","F3","165_25_27",2.84,1.43,37.43,36.23
"219","F3","165_25_28",2.5,1.74,38.92,39.17
"220","F3","165_25B_31",3.04,2.94,38.05,39.13
"221","F3","165_25B_34",2.69,1.93,39.02,38.23
"222","F3","165_25B_38",3.55,1.8,37.45,34.17
"223","F3","165_25B_40",3.15,2.07,37.23,37.01
"224","F3","165_25B_49",3.23,1.9,36.43,35.36
"225","F3","165_25B_53",2.6,1.6,37.75,35.77
