"ID","GREEN","DEAD"
"165_009_89",3.28,1.89
"165_009_90",4.05,2.31
"165_009_91",3.61,2.45
"165_009_92",3.78,2.41
"165_009_93",3.55,2.52
"165_009_94",3.6,2.47
"165_009_95",3.41,2.28
"165_009_96",3.11,1.95
"165_009_97",3.88,2.86
"165_009_99",3.85,3.16
"165_009B_02",3.33,1.75
"165_009B_10",3.4,2.19
"165_009B_105",4.11,2.8
"165_009B_111",3.39,1.79
"165_009B_112",4.29,1.83
"165_009B_113",3.54,2.61
"165_009B_114",3.49,2.28
"165_009B_116",4.29,3.06
"165_009B_124",3.63,1.82
"165_009B_125",3.47,2
"165_009B_127",3.48,1.73
"165_009B_133",4.21,3.54
"165_009B_168",2.89,1.63
"165_009B_170",2.94,1.71
"165_009B_180",2.82,1.72
"165_009B_182",3.43,1.98
"165_009B_183",2.82,1.41
"165_009B_184",3.35,1.67
"165_009B_187",3.46,1.75
"165_009B_192",3.56,2.08
"165_009B_193",3.72,2.37
"165_009B_196",2.74,0.98
"165_009B_197",3.36,2.34
"165_009B_198",3.32,1.82
"165_009B_203",2.81,1.74
"165_009B_28",3.65,2.09
"165_009B_29",3.4,2.02
"165_009B_31",3.47,1.9
"165_009B_32",3.46,2.85
"165_009B_33",3.02,1.89
"165_009B_34",3.54,2.69
"165_009B_35",3.64,2.86
"165_009B_36",3.99,3.06
"165_009B_4",3.42,2.3
"165_009B_40",3.85,2.25
"165_009B_41",3.41,1.96
"165_009B_42",2.95,1.9
"165_009B_44",3.37,2.4
"165_009B_5",3.66,1.95
"165_009B_52",3.3,NA
"165_009B_59",3.28,2.25
"165_009B_62",4.19,3.37
"165_009B_63",3.86,2.32
"165_009B_64",3.89,3.09
"165_009B_65",3.32,2.49
"165_009B_66",NA,1.93
"165_009B_67",3.42,2.26
"165_009B_69",3.31,2.18
"165_009B_7",3.53,2.61
"165_009B_70",3.33,1.63
"165_009B_71",3.27,2.21
"165_009B_72",3.83,3.17
"165_009B_8",3.09,1.81
"165_009B_9",3.29,2.27
"165_16_02",3.88,1.94
"165_16_03",3.31,1.84
"165_16_04",2.69,1.43
"165_16_05",3.79,2.44
"165_16_06",2.62,1.06
"165_16_07",3,1.37
"165_16_08",3.83,1.97
"165_16_11",3.23,2.05
"165_16_12",3.89,2.27
"165_16_13",3.86,2.08
"165_16_14",NA,2.55
"165_16_15",3.43,1.78
"165_16_16",3.99,1.83
"165_16_19",3.61,1.95
"165_16_20",3.42,1.66
"165_16_31",2.83,1.8
"165_16_39",3.02,1.52
"165_16_57",NA,1.93
"165_16B_23",4.18,2.13
"165_16B_25",3.15,1.52
"165_16B_26",3.88,2.43
"165_16B_28",2.83,2.41
"165_16B_34",2.81,1.32
"165_16B_37",3.05,1.44
"165_16B_38",3.24,1.36
"165_16B_42",3,1.18
"165_16C_45",2.4,0.97
"165_16C_48",3.46,1.84
"165_16C_49",3,2.12
"165_16C_52",2.83,1.7
"165_16C_54",3.29,2.28
"165_16C_56",3.06,1.85
"165_16C_57",3.2,NA
"165_16C_59",2.71,1.47
"165_16C_60",3.05,2.12
"165_16C_61",2.97,1.5
"165_16C_63",3.33,1.85
"165_16C_65",2.73,2
"165_19_11",3.81,1.81
"165_25_02",3.86,2.44
"165_25_03",3.72,2.56
"165_25_04",3.96,2.76
"165_25_06",4.13,3.06
"165_25_07",3.67,3.74
"165_25_08",3.59,2.38
"165_25_09",NA,2.72
"165_25_10",NA,3.22
"165_25_11",3.46,2.68
"165_25_12",3.55,2.95
"165_25_13",4.4,3.17
"165_25_14",3.73,3.64
"165_25_15",4.29,3.28
"165_25_17",3.62,2.85
"165_25_18",3.13,2.66
"165_25_20",3.53,1.89
"165_25_21",4.17,2.85
"165_25_22",3.78,2.42
"165_25_23",4.36,2.01
"165_25_24",3.15,2.73
"165_25_25",3.28,2.15
"165_25_26",3.37,1.58
"165_25_27",2.84,1.43
"165_25_28",2.5,1.74
"165_25B_31",3.04,2.94
"165_25B_34",2.69,1.93
"165_25B_38",3.55,1.8
"165_25B_40",3.15,2.07
"165_25B_49",3.23,1.9
"165_25B_53",2.6,1.6
"165_25B_55",3,1.78
"165_26_01",3.37,2.77
"165_26_103",2.23,2.39
"165_26_104",2.79,2.19
"165_26_116",3.3,2.92
"165_26_117",3.01,2.72
"165_26_223",3.63,2.32
"165_26_27",3.1,NA
"165_26_28",3.22,2.71
"165_26_29",3.18,2.07
"165_26_3",2.96,2.55
"165_26_30",3.19,2.64
"165_26_31",3.06,2.5
"165_26_32",3.01,2.35
"165_26_35",2.75,2.2
"165_26_36",2.98,2.22
"165_26_37",2.75,2.58
"165_26_38",3.18,1.99
"165_26_39",3.29,2.29
"165_26_40",2.92,2.06
"165_26_41",3,1.87
"165_26_42",3.04,2.34
"165_26_43",3.29,2.24
"165_26_5",2.99,2.35
"165_26_53",2.27,1.62
"165_26_54",2.47,1.73
"165_26_55",3.29,2.54
"165_26_56",2.72,1.84
"165_26_57",3.2,2.93
"165_26_58",2.72,2.26
"165_26_69",2.1,1.87
"165_26_7",3.35,2.42
"165_26_70",2.76,2.11
"165_26_71",2.34,2.09
"165_26_72",NA,2.32
"165_26_73",2.72,1.96
"165_26_87",3.32,2.28
"165_26_88",2.98,1.94
"165_26_9",2.78,1.97
"165_26_93",2.71,1.61
"165_26_95",2.85,1.64
"165_26_96",2.47,2.47
"165_26B_100",2.45,1.94
"165_26B_101",3.24,2.55
"165_26B_11",2.69,2.04
"165_26B_12",3.22,2.75
"165_26B_14",3.29,2.39
"165_26B_15",3.39,3.07
"165_26B_16",3.28,2.6
"165_26B_168",2.8,2.24
"165_26B_183",3.08,2.66
"165_26B_19",3.25,2.39
"165_26B_191",NA,2.93
"165_26b_191",4.08,NA
"165_26B_193",3.57,2.55
"165_26B_207",3.63,2.67
"165_26B_208",2.85,1.79
"165_26B_21",2.97,1.66
"165_26B_211",3.16,1.72
"165_26B_212",3.38,NA
"165_26b_212",NA,2.51
"165_26B_220",2.69,1.31
"165_26B_222",3.81,2.59
"165_26B_226",3.21,2.51
"165_26B_227",3.52,2.49
"165_26B_24",3.17,2.13
"165_26B_26",2.97,2.02
"165_26B_44",3.07,2.54
"165_26B_45",3.27,2.29
"165_26B_46",3.19,2.64
"165_26B_48",2.65,1.91
"165_26B_49",2.87,2.37
"165_26B_50",2.76,2.54
"165_26B_52",3.04,1.99
"165_26B_60",2.91,2.42
"165_26B_62",2.85,1.9
"165_26B_64",3.8,2.6
"165_26B_65",2.78,1.81
"165_26B_66",2.64,2.29
"165_26B_68",3.57,2.2
"165_26B_75",3.33,2.32
"165_26B_76",2.51,1.58
"165_26B_78",2.76,2.43
"165_26B_79",2.64,2.68
"165_26B_80",2.9,2.16
"165_26B_81",2.62,1.79
"165_26B_82",2.89,2.04
"165_26B_83",2.96,2.67
"165_26B_84",2.68,2.02
"165_26B_85",3.09,2.3
"165_26B_86",2.69,1.9
"165_26B_99",2.81,2.19
"165_26C_102",3.39,2.1
"165_26C_106",3.2,2.15
"165_26C_109",2.38,1.94
"165_26C_110",3.16,2.83
"165_26C_112",2.76,2.42
"165_26C_113",2.48,1.94
"165_26C_114",2.89,2.25
"165_26C_118",3.35,3.14
"165_26C_120",3.16,2.26
"165_26C_128",3.51,2.29
"165_26C_129",3.16,2.18
"165_26C_131",3.1,2.55
"165_26C_132",3.17,2.38
"165_26C_144",2.99,2.5
"165_26C_145",3.7,2.7
"165_26C_146",3.19,2.39
"165_26C_160",3.24,2.65
"165_26C_195",3.33,2.75
"165_26C_200",3.97,2.43
"165_26C_209",4.02,2.71
"165_26C_210",3.43,2.53
"165_26C_226",2.96,1.97
"165_26C_228",2.92,1.77
"165_26C_229",3.44,2.32
"165_26D_123",3.94,2.69
"165_26D_124",3.71,2.8
"165_26D_125",3.84,3.27
"165_26D_126",3.69,2.91
"165_26D_127",3.84,3.48
"165_26D_141",3.37,2.49
"165_26D_148",3.12,2.5
"165_26D_150",2.95,1.72
"165_26D_151",3.93,2.85
"165_26D_152",3.28,2.29
"165_26D_153",3.67,2.84
"165_26d_154",3.2,1.96
"165_26D_155",3.46,2.76
"165_26D_156",3.19,2.49
"165_26D_161",3.87,3.07
"165_26D_162",3.25,2.18
"165_26D_164",3.3,NA
"165_26D_165",3.39,2.42
"165_26D_170",2.93,2.16
"165_26D_171",3.11,2.29
"165_26D_173",3.08,2.34
"165_26D_175",2.91,2.34
"165_26D_176",3.21,3
"165_26D_178",3.41,2.6
"165_26D_186",2.78,2.04
"165_26D_187",3.74,2.8
"165_26D_192",3.66,2.56
"165_26D_197",4,2.51
"165_26D_206",2.91,2.02
"165_26D_217",3.35,2.39
"165_26D_224",3.28,1.79
"165_26E_138",3.46,2.41
"165_26E_139",3.01,2.39
"165_26e_140",3.34,2.46
"165_26E_157",3.72,2.41
"165_26E_158",3.46,2.89
"165_26E_167",2.96,2.56
"165_26E_179",2.98,2.25
"165_26E_180",2.94,2.36
"165_26E_189",3.74,2.32
"165_26E_190",4.08,3.09
"165_26E_194",4.03,2.72
"165_26E_196",3.59,3.1
"165_26E_198",4.11,2.49
