ID,G_parent,parent,type,tissue_collected,D_extracted,days_to_radicle,GR.M2.date,GR.cm.dy,GR.days,total_growth,notes,date,thick.1,thick.2,thick.3,tough.1,tough.2,tough.3,area,wet.g,wet.date,dry.g,dry.date,tmp.ldmc,N_wght_p_GREEN,N_wght_p_DEAD,DD_date_start,PER1_start,PER2_start,Grn.SPAD_start,date_end,PER1_end,PER2_end,Dry.SPAD_end,C_wght_p_GREEN,C_wght_p_DEAD
165_009_186,165,165_009,F3,y,y,46,7/11/22,0.55,26,14.2,,9/5/22,0.312,0.369,0.469,44,100,130,72.32,2.83,9/4/22,0.33,9/9/22,0.116607774,3.8,1.8,9/5/22,3263,3567,58.9,9/30/22,2049,2070,17.6,37.61,37.04
165_009_187,165,165_009,F3,y,y,46,7/11/22,0.74,26,19.2,,9/5/22,0.361,0.448,0.604,76,106,122,84.73,3.16,9/4/22,0.41,9/9/22,0.129746835,NA,NA,9/5/22,3124,3075,66.1,9/26/22,2023,2046,25.6,NA,NA
165_009_188,165,165_009,F3,y,y,46,7/11/22,0.55,26,14.3,,9/5/22,0.335,0.378,0.538,50,68,140,34.82,1.56,9/4/22,0.14,9/9/22,0.08974359,3.15,1.64,9/5/22,2900,2949,42.2,10/3/22,2069,2034,24.6,39.8,40.01
165_009_189,165,165_009,F3,y,y,49,7/4/22,0.58,26,15,,8/29/22,0.34,0.403,0.508,78,100,144,38.29,1.65,8/27/22,0.18,8/31/22,0.109090909,3.52,1.75,8/29/22,3129,2950,64.7,10/3/22,2025,2024,25.2,40.3,39.85
165_009_19,165,165_009,F3,y,y,16,5/23/22,0.27,26,7,,7/10/22,0.365,0.43,0.567,54,106,150,34.84,1.5,7/16/22,0.21,7/21/22,0.14,3.46,1.99,7/18/22,2750,2662,62.4,8/12/22,2013,2015,31.8,38.79,36.99
165_009_194,165,165_009,F3,y,y,53,7/18/22,0.54,26,14.1,,9/9/22,0.396,0.434,0.591,96,118,176,30.04,1.24,9/4/22,0.12,9/12/22,0.096774194,2.73,1.68,9/12/22,2572,2640,52.9,10/17/22,2009,2013,14.6,40.24,40.49
165_009_195,165,165_009,F3,y,y,65,7/28/22,0.65,28,18.3,,9/16/22,0.343,0.357,0.477,58,72,156,68.41,2.6,,0.34,9/27/22,0.130769231,2.35,1.12,9/19/22,3222,3308,55.7,11/4/22,2009,2011,9,39.28,39.43
165_009_198,165,165_009,F3,y,y,74,7/28/22,0.76,28,21.3,,9/16/22,0.361,0.417,0.551,84,108,134,23.28,1.06,,0.1,9/27/22,0.094339623,2.63,0.96,9/19/22,3258,3397,54.7,10/28/22,2011,2017,6,40,38.81
165_009_20,165,165_009,F3,y,y,16,5/23/22,0.52,26,13.4,,7/10/22,0.374,0.428,0.581,88,112,178,43.39,1.88,7/16/22,0.24,7/21/22,0.127659574,3.15,2.08,7/18/22,3050,3163,58.8,8/12/22,2037,2040,39.5,38.06,36.99
165_009_200,165,165_009,F3,y,y,88,8/22/22,0.6,25,15,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,#DIV/0!,3.81,1.85,11/4/22,2729,2691,53.3,12/2/22,2011,2015,34.6,40.87,39.7
165_009_202,165,165_009,F3,y,y,98,8/22/22,0.78,25,19.4,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,#DIV/0!,3.551,1.35,11/4/22,2885,2840,51.4,11/28/22,2056,2056,7.5,38.213,36.826
165_009_21,165,165_009,F3,y,y,16,5/23/22,0.51,26,13.2,,7/8/22,0.399,0.456,0.562,46,138,152,35.1,1.39,7/16/22,0.17,7/21/22,0.122302158,3.58,2.05,7/18/22,2658,2756,53,8/5/22,2052,2033,24.7,37.82,36.91
165_009_210,165,165_009,F3,y,y,189,11/21/22,0.08,25,2,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,#DIV/0!,4.078,2.258,1/23/23,2414,2496,42.2,3/17/23,2005,2008,20.4,38.336,38.088
165_009_212,165,165_009,F3,y,y,189,11/21/22,0.13,25,3.3,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,#DIV/0!,NA,NA,1/23/23,2698,2766,40,3/17/23,2003,2006,4.7,NA,NA
165_009_213,165,165_009,F3,y,y,189,11/21/22,0.1,25,2.5,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,#DIV/0!,NA,NA,1/23/23,2312,2357,44.2,3/13/23,2003,2017,22.6,NA,NA
165_009_22,165,165_009,F3,y,y,16,5/23/22,0.6,26,15.5,,7/10/22,0.378,0.44,0.587,58,104,182,57.64,2.61,7/16/22,0.28,7/21/22,0.107279693,3.6,2.24,7/18/22,2554,2406,67.4,8/12/22,2068,2049,34.3,38.65,38.06
165_009_220,165,165_009,F3,y,y,196,11/28/22,0.16,25,3.9,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,#DIV/0!,4.438,2.587,1/30/23,2637,2795,45.6,4/10/23,2005,2006,13,37.692,37.312
165_009_23,165,165_009,F3,y,y,16,5/23/22,0.35,26,9.2,,7/8/22,0.402,0.453,0.514,86,90,94,52.57,2.16,7/16/22,0.25,7/21/22,0.115740741,3.28,2.01,7/18/22,2413,2526,52.1,8/12/22,2049,2027,17.6,38.41,37.31
165_009_24,165,165_009,F3,y,y,16,5/23/22,0.42,26,11,,7/10/22,0.407,0.442,0.592,84,136,220,40.78,1.54,7/16/22,0.18,7/21/22,0.116883117,3.96,2.46,7/18/22,2717,2694,52.4,8/15/22,2031,2010,27.9,39.28,38.77
165_009_25,165,165_009,F3,y,y,16,5/23/22,0.38,26,9.8,,7/10/22,0.374,0.431,0.543,92,150,168,44.91,1.69,7/16/22,0.19,7/21/22,0.112426036,3.56,2.22,7/18/22,2801,2825,67.3,8/19/22,2031,2032,18.1,37.51,36.88
165_009_26,165,165_009,F3,y,y,16,5/23/22,0.67,26,17.4,,7/10/22,0.413,0.438,0.576,106,104,190,97.3,4.03,7/16/22,0.52,7/21/22,0.129032258,3.4,2.25,7/18/22,2679,2620,42.6,8/12/22,2032,2041,31.6,38.29,36.89
165_009_27,165,165_009,F3,y,y,16,5/23/22,0.36,26,9.4,,7/8/22,0.413,0.473,0.559,80,116,108,55.3,2.26,7/16/22,0.2,7/21/22,0.088495575,3.49,2.1,7/18/22,2873,3047,54.8,8/12/22,2017,2013,26.5,38.76,38.37
165_009_45,165,165_009,F3,y,y,16,5/30/22,0.33,26,8.5,,7/10/22,0.416,0.492,0.623,70,108,142,54.36,2.57,7/16/22,0.35,7/21/22,0.13618677,3.91,2.3,7/25/22,2832,2859,59.3,8/19/22,2008,2021,25.1,38.17,36.79
165_009_46,165,165_009,F3,y,y,16,5/23/22,0.45,26,11.7,,7/8/22,0.405,0.428,0.586,84,106,112,68.85,2.84,7/16/22,0.34,7/21/22,0.11971831,3.2,2.42,7/18/22,2656,2498,43,8/15/22,2015,2018,13.3,38.55,38.79
